"page","practical","impressive","happy","over","bored","afraid","sad","angry","category"
"health1",0.78,0,0,0,0.11,0,0.11,0,"h"
"health2",0.64,0,0.30,0.03,0,0.03,0,0,"h"
"health3",0.60,0,0.13,0,0.07,0.07,0.13,0,"h"
"health4",0.33,0.33,0,0,0,0,0.33,0,"h"
"health5",0.50,0,0.50,0,0,0,0,0,"h"
"health6",1,0,0,0,0,0,0,0,"h"
"health7",0.15,0.01,0.10,0.10,0.06,0.19,0.31,0.08,"h"
"health8",0.20,0,0.20,0.10,0.10,0.10,0.15,0.15,"h"
"health9",0.09,0.10,0.03,0.14,0.04,0.02,0.53,0.06,"h"
"health10",0.67,0.07,0.07,0.07,0.07,0,0.07,0,"h"
"health11",0.01,0.01,0.03,0.12,0.02,0.06,0.53,0.22,"h"
"health12",0.84,0.01,0.08,0.02,0.03,0.01,0.01,0.01,"h"
"health13",0.15,0.01,0.10,0.10,0.06,0.19,0.31,0.08,"h"
"health14",0.20,0.22,0.34,0.14,0.06,0.00,0.02,0.02,"h"
"health15",1,0,0,0,0,0,0,0,"h"
"politics1",0.01,0.03,0.10,0.11,0.62,0,0.01,0.12,"p"
"politics2",0.16,0.02,0.02,0.33,0.10,0.01,0.04,0.33,"p"
"politics3",0.30,0.03,0.27,0.09,0.18,0,0,0.12,"p"
"politics4",0,0,0.14,0.14,0.43,0,0,0.29,"p"
"politics5",0.03,0.01,0.13,0.11,0.50,0.01,0,0.21,"p"
"politics6",0.14,0.03,0.47,0.08,0.19,0.03,0,0.06,"p"
"politics7",0,0,0.13,0.13,0.50,0,0,0.25,"p"
"politics8",0.19,0.01,0.09,0.11,0.26,0,0.02,0.33,"p"
"politics9",0,0.06,0.35,0.06,0.35,0,0,0.18,"p"
"politics10",0,0.25,0.25,0,0,0,0,0.5,"p"
"politics11",0.07,0.01,0.29,0.20,0.22,0.01,0.03,0.16,"p"
"politics12",0.13,0.01,0.72,0.06,0.05,0.01,0.01,0.01,"p"
"politics13",0.06,0.02,0.17,0.24,0.11,0.12,0.02,0.26,"p"
"politics14",0.16,0.01,0.33,0.13,0.09,0.01,0.08,0.20,"p"
"politics15",0.15,0.06,0.40,0.11,0.13,0,0.02,0.13,"p"
"entertainment1",0,0,1,0,0,0,0,0,"e"
"entertainment2",0.17,0,0.50,0,0,0,0,0.33,"e"
"entertainment3",0,0,0.75,0,0.13,0.13,0,0,"e"
"entertainment4",0,0,1,0,0,0,0,0,"e"
"entertainment5",0,0,0.50,0,0.50,0,0,0,"e"
"entertainment6",0.09,0.09,0.18,0.18,0.45,0,0,0,"e"
"entertainment7",0.03,0.04,0.66,0.20,0.01,0,0.01,0,"e"
"entertainment8",0.04,0.04,0.83,0,0.08,0,0,0,"e"
"entertainment9",0.06,0.67,0.22,0,0.06,0,0,0,"e"
"entertainment10",0.23,0,0.65,0.06,0,0,0,0.06,"e"
"entertainment11",0.01,0.01,0.76,0.07,0.11,0,0,0.01,"e"
"entertainment12",0.03,0.03,0.83,0,0.08,0,0,0.03,"e"
"entertainment13",0.13,0,0.63,0.13,0.13,0,0,0,"e"
"entertainment14",0,0,1,0,0,0,0,0,"e"
"entertainment15",0,0.07,0.73,0.07,0.13,0,0,0,"e"
